date,gpu,engines,family,model,weights,kv_cache,benchmark,metric,value,n,harness,engine_version,source_tag,notes
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct,bf16,auto,SWE-bench Verified (first 100),resolved,0.22,100,"mini-swe-agent 2.4.6, step limit 75; swebench 5.0.2",vLLM 0.28.0,coder-bf16,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct,bf16,auto,SWE-bench Verified (first 100),empty patches,0.37,100,"mini-swe-agent 2.4.6, step limit 75; swebench 5.0.2",vLLM 0.28.0,coder-bf16,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct,bf16,auto,SWE-bench Verified (first 100),patches that did not apply,0.17,100,"mini-swe-agent 2.4.6, step limit 75; swebench 5.0.2",vLLM 0.28.0,coder-bf16,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct,bf16,auto,"CoNLL-2003 extraction, schema mode, 300-token cap",entity F1,0.6988,1000,scripts/extraction.py,vLLM 0.28.0,coder-bf16,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct,bf16,auto,"CoNLL-2003 extraction, schema mode, 300-token cap",exact set,0.502,1000,scripts/extraction.py,vLLM 0.28.0,coder-bf16,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct,bf16,auto,"CoNLL-2003 extraction, schema mode, 300-token cap",unparsed answers,0.0,1000,scripts/extraction.py,vLLM 0.28.0,coder-bf16,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct,bf16,auto,"CoNLL-2003 extraction, json mode, 300-token cap",entity F1,0.697,1000,scripts/extraction.py,vLLM 0.28.0,coder-bf16,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct,bf16,auto,"CoNLL-2003 extraction, json mode, 300-token cap",exact set,0.5,1000,scripts/extraction.py,vLLM 0.28.0,coder-bf16,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct,bf16,auto,"CoNLL-2003 extraction, json mode, 300-token cap",unparsed answers,0.0,1000,scripts/extraction.py,vLLM 0.28.0,coder-bf16,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct,bf16,auto,"CoNLL-2003 extraction, free mode, 300-token cap",entity F1,0.6968,1000,scripts/extraction.py,vLLM 0.28.0,coder-bf16,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct,bf16,auto,"CoNLL-2003 extraction, free mode, 300-token cap",exact set,0.506,1000,scripts/extraction.py,vLLM 0.28.0,coder-bf16,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct,bf16,auto,"CoNLL-2003 extraction, free mode, 300-token cap",unparsed answers,0.0,1000,scripts/extraction.py,vLLM 0.28.0,coder-bf16,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct-FP8,fp8 (publisher),fp8,BFCL v4,overall accuracy,0.3249,4441,"bfcl-eval (gorilla main, 2026-09-10)",vLLM 0.28.0,coder-fp8,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct-FP8,fp8 (publisher),fp8,BFCL v4,non-live AST accuracy,0.8504,,"bfcl-eval (gorilla main, 2026-09-10)",vLLM 0.28.0,coder-fp8,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct-FP8,fp8 (publisher),fp8,BFCL v4,live accuracy,0.795,,"bfcl-eval (gorilla main, 2026-09-10)",vLLM 0.28.0,coder-fp8,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct-FP8,fp8 (publisher),fp8,BFCL v4,multi-turn accuracy,0.2838,,"bfcl-eval (gorilla main, 2026-09-10)",vLLM 0.28.0,coder-fp8,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct-FP8,fp8 (publisher),fp8,BFCL v4,irrelevance detection,0.7528,,"bfcl-eval (gorilla main, 2026-09-10)",vLLM 0.28.0,coder-fp8,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct-FP8,fp8 (publisher),fp8,BFCL v4,relevance detection,0.9375,,"bfcl-eval (gorilla main, 2026-09-10)",vLLM 0.28.0,coder-fp8,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct-FP8,fp8 (publisher),fp8,tau-bench retail,pass^1,0.2412,114,"tau2-bench 1.0.x, user simulator and judge Claude Sonnet 4.5",vLLM 0.28.0,coder-fp8,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct-FP8,fp8 (publisher),fp8,tau-bench retail,pass^2,0.1842,114,"tau2-bench 1.0.x, user simulator and judge Claude Sonnet 4.5",vLLM 0.28.0,coder-fp8,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct-FP8,fp8 (publisher),fp8,tau-bench airline,pass^1,0.42,50,"tau2-bench 1.0.x, user simulator and judge Claude Sonnet 4.5",vLLM 0.28.0,coder-fp8,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct-FP8,fp8 (publisher),fp8,tau-bench airline,pass^2,0.38,50,"tau2-bench 1.0.x, user simulator and judge Claude Sonnet 4.5",vLLM 0.28.0,coder-fp8,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct-FP8,fp8 (publisher),fp8,SWE-bench Verified (first 100),resolved,0.27,100,"mini-swe-agent 2.4.6, step limit 75; swebench 5.0.2",vLLM 0.28.0,coder-fp8,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct-FP8,fp8 (publisher),fp8,SWE-bench Verified (first 100),empty patches,0.18,100,"mini-swe-agent 2.4.6, step limit 75; swebench 5.0.2",vLLM 0.28.0,coder-fp8,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct-FP8,fp8 (publisher),fp8,SWE-bench Verified (first 100),patches that did not apply,0.26,100,"mini-swe-agent 2.4.6, step limit 75; swebench 5.0.2",vLLM 0.28.0,coder-fp8,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct-FP8,fp8 (publisher),fp8,"CoNLL-2003 extraction, schema mode, 300-token cap",entity F1,0.6979,1000,scripts/extraction.py,vLLM 0.28.0,coder-fp8,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct-FP8,fp8 (publisher),fp8,"CoNLL-2003 extraction, schema mode, 300-token cap",exact set,0.502,1000,scripts/extraction.py,vLLM 0.28.0,coder-fp8,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct-FP8,fp8 (publisher),fp8,"CoNLL-2003 extraction, schema mode, 300-token cap",unparsed answers,0.0,1000,scripts/extraction.py,vLLM 0.28.0,coder-fp8,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct-FP8,fp8 (publisher),fp8,"CoNLL-2003 extraction, json mode, 300-token cap",entity F1,0.7048,1000,scripts/extraction.py,vLLM 0.28.0,coder-fp8,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct-FP8,fp8 (publisher),fp8,"CoNLL-2003 extraction, json mode, 300-token cap",exact set,0.505,1000,scripts/extraction.py,vLLM 0.28.0,coder-fp8,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct-FP8,fp8 (publisher),fp8,"CoNLL-2003 extraction, json mode, 300-token cap",unparsed answers,0.0,1000,scripts/extraction.py,vLLM 0.28.0,coder-fp8,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct-FP8,fp8 (publisher),fp8,"CoNLL-2003 extraction, free mode, 300-token cap",entity F1,0.6997,1000,scripts/extraction.py,vLLM 0.28.0,coder-fp8,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct-FP8,fp8 (publisher),fp8,"CoNLL-2003 extraction, free mode, 300-token cap",exact set,0.503,1000,scripts/extraction.py,vLLM 0.28.0,coder-fp8,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct-FP8,fp8 (publisher),fp8,"CoNLL-2003 extraction, free mode, 300-token cap",unparsed answers,0.0,1000,scripts/extraction.py,vLLM 0.28.0,coder-fp8,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,cyankiwi/Qwen3-Coder-30B-A3B-Instruct-AWQ-4bit,AWQ Int4 (community),fp8,BFCL v4,overall accuracy,0.3147,4441,"bfcl-eval (gorilla main, 2026-09-10)",vLLM 0.28.0,coder-awq,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,cyankiwi/Qwen3-Coder-30B-A3B-Instruct-AWQ-4bit,AWQ Int4 (community),fp8,BFCL v4,non-live AST accuracy,0.8442,,"bfcl-eval (gorilla main, 2026-09-10)",vLLM 0.28.0,coder-awq,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,cyankiwi/Qwen3-Coder-30B-A3B-Instruct-AWQ-4bit,AWQ Int4 (community),fp8,BFCL v4,live accuracy,0.7794,,"bfcl-eval (gorilla main, 2026-09-10)",vLLM 0.28.0,coder-awq,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,cyankiwi/Qwen3-Coder-30B-A3B-Instruct-AWQ-4bit,AWQ Int4 (community),fp8,BFCL v4,multi-turn accuracy,0.255,,"bfcl-eval (gorilla main, 2026-09-10)",vLLM 0.28.0,coder-awq,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,cyankiwi/Qwen3-Coder-30B-A3B-Instruct-AWQ-4bit,AWQ Int4 (community),fp8,BFCL v4,irrelevance detection,0.7582,,"bfcl-eval (gorilla main, 2026-09-10)",vLLM 0.28.0,coder-awq,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,cyankiwi/Qwen3-Coder-30B-A3B-Instruct-AWQ-4bit,AWQ Int4 (community),fp8,BFCL v4,relevance detection,0.875,,"bfcl-eval (gorilla main, 2026-09-10)",vLLM 0.28.0,coder-awq,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,cyankiwi/Qwen3-Coder-30B-A3B-Instruct-AWQ-4bit,AWQ Int4 (community),fp8,tau-bench retail,pass^1,0.2325,114,"tau2-bench 1.0.x, user simulator and judge Claude Sonnet 4.5",vLLM 0.28.0,coder-awq,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,cyankiwi/Qwen3-Coder-30B-A3B-Instruct-AWQ-4bit,AWQ Int4 (community),fp8,tau-bench retail,pass^2,0.1842,114,"tau2-bench 1.0.x, user simulator and judge Claude Sonnet 4.5",vLLM 0.28.0,coder-awq,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,cyankiwi/Qwen3-Coder-30B-A3B-Instruct-AWQ-4bit,AWQ Int4 (community),fp8,tau-bench airline,pass^1,0.39,50,"tau2-bench 1.0.x, user simulator and judge Claude Sonnet 4.5",vLLM 0.28.0,coder-awq,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,cyankiwi/Qwen3-Coder-30B-A3B-Instruct-AWQ-4bit,AWQ Int4 (community),fp8,tau-bench airline,pass^2,0.34,50,"tau2-bench 1.0.x, user simulator and judge Claude Sonnet 4.5",vLLM 0.28.0,coder-awq,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,cyankiwi/Qwen3-Coder-30B-A3B-Instruct-AWQ-4bit,AWQ Int4 (community),fp8,SWE-bench Verified (first 100),resolved,0.24,100,"mini-swe-agent 2.4.6, step limit 75; swebench 5.0.2",vLLM 0.28.0,coder-awq,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,cyankiwi/Qwen3-Coder-30B-A3B-Instruct-AWQ-4bit,AWQ Int4 (community),fp8,SWE-bench Verified (first 100),empty patches,0.2,100,"mini-swe-agent 2.4.6, step limit 75; swebench 5.0.2",vLLM 0.28.0,coder-awq,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,cyankiwi/Qwen3-Coder-30B-A3B-Instruct-AWQ-4bit,AWQ Int4 (community),fp8,SWE-bench Verified (first 100),patches that did not apply,0.24,100,"mini-swe-agent 2.4.6, step limit 75; swebench 5.0.2",vLLM 0.28.0,coder-awq,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,cyankiwi/Qwen3-Coder-30B-A3B-Instruct-AWQ-4bit,AWQ Int4 (community),fp8,"CoNLL-2003 extraction, schema mode, 300-token cap",entity F1,0.6848,1000,scripts/extraction.py,vLLM 0.28.0,coder-awq,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,cyankiwi/Qwen3-Coder-30B-A3B-Instruct-AWQ-4bit,AWQ Int4 (community),fp8,"CoNLL-2003 extraction, schema mode, 300-token cap",exact set,0.474,1000,scripts/extraction.py,vLLM 0.28.0,coder-awq,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,cyankiwi/Qwen3-Coder-30B-A3B-Instruct-AWQ-4bit,AWQ Int4 (community),fp8,"CoNLL-2003 extraction, schema mode, 300-token cap",unparsed answers,0.0,1000,scripts/extraction.py,vLLM 0.28.0,coder-awq,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,cyankiwi/Qwen3-Coder-30B-A3B-Instruct-AWQ-4bit,AWQ Int4 (community),fp8,"CoNLL-2003 extraction, json mode, 300-token cap",entity F1,0.6859,1000,scripts/extraction.py,vLLM 0.28.0,coder-awq,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,cyankiwi/Qwen3-Coder-30B-A3B-Instruct-AWQ-4bit,AWQ Int4 (community),fp8,"CoNLL-2003 extraction, json mode, 300-token cap",exact set,0.478,1000,scripts/extraction.py,vLLM 0.28.0,coder-awq,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,cyankiwi/Qwen3-Coder-30B-A3B-Instruct-AWQ-4bit,AWQ Int4 (community),fp8,"CoNLL-2003 extraction, json mode, 300-token cap",unparsed answers,0.0,1000,scripts/extraction.py,vLLM 0.28.0,coder-awq,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,cyankiwi/Qwen3-Coder-30B-A3B-Instruct-AWQ-4bit,AWQ Int4 (community),fp8,"CoNLL-2003 extraction, free mode, 300-token cap",entity F1,0.6893,1000,scripts/extraction.py,vLLM 0.28.0,coder-awq,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,cyankiwi/Qwen3-Coder-30B-A3B-Instruct-AWQ-4bit,AWQ Int4 (community),fp8,"CoNLL-2003 extraction, free mode, 300-token cap",exact set,0.474,1000,scripts/extraction.py,vLLM 0.28.0,coder-awq,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,cyankiwi/Qwen3-Coder-30B-A3B-Instruct-AWQ-4bit,AWQ Int4 (community),fp8,"CoNLL-2003 extraction, free mode, 300-token cap",unparsed answers,0.0,1000,scripts/extraction.py,vLLM 0.28.0,coder-awq,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,NVFP4/Qwen3-Coder-30B-A3B-Instruct-FP4,"NVFP4 (community, uncalibrated)",fp8,BFCL v4,overall accuracy,0.2678,4441,"bfcl-eval (gorilla main, 2026-09-10)",vLLM 0.28.0,coder-nvfp4,second run; the first run is in results/agentic/a-coder-nvfp4-run1
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,NVFP4/Qwen3-Coder-30B-A3B-Instruct-FP4,"NVFP4 (community, uncalibrated)",fp8,BFCL v4,non-live AST accuracy,0.8406,,"bfcl-eval (gorilla main, 2026-09-10)",vLLM 0.28.0,coder-nvfp4,second run; the first run is in results/agentic/a-coder-nvfp4-run1
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,NVFP4/Qwen3-Coder-30B-A3B-Instruct-FP4,"NVFP4 (community, uncalibrated)",fp8,BFCL v4,live accuracy,0.7654,,"bfcl-eval (gorilla main, 2026-09-10)",vLLM 0.28.0,coder-nvfp4,second run; the first run is in results/agentic/a-coder-nvfp4-run1
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,NVFP4/Qwen3-Coder-30B-A3B-Instruct-FP4,"NVFP4 (community, uncalibrated)",fp8,BFCL v4,multi-turn accuracy,0.1937,,"bfcl-eval (gorilla main, 2026-09-10)",vLLM 0.28.0,coder-nvfp4,second run; the first run is in results/agentic/a-coder-nvfp4-run1
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,NVFP4/Qwen3-Coder-30B-A3B-Instruct-FP4,"NVFP4 (community, uncalibrated)",fp8,BFCL v4,irrelevance detection,0.4911,,"bfcl-eval (gorilla main, 2026-09-10)",vLLM 0.28.0,coder-nvfp4,second run; the first run is in results/agentic/a-coder-nvfp4-run1
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,NVFP4/Qwen3-Coder-30B-A3B-Instruct-FP4,"NVFP4 (community, uncalibrated)",fp8,BFCL v4,relevance detection,0.9375,,"bfcl-eval (gorilla main, 2026-09-10)",vLLM 0.28.0,coder-nvfp4,second run; the first run is in results/agentic/a-coder-nvfp4-run1
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,NVFP4/Qwen3-Coder-30B-A3B-Instruct-FP4,"NVFP4 (community, uncalibrated)",fp8,tau-bench retail,pass^1,0.2632,114,"tau2-bench 1.0.x, user simulator and judge Claude Sonnet 4.5",vLLM 0.28.0,coder-nvfp4,second run; the first run is in results/agentic/a-coder-nvfp4-run1
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,NVFP4/Qwen3-Coder-30B-A3B-Instruct-FP4,"NVFP4 (community, uncalibrated)",fp8,tau-bench retail,pass^2,0.1667,114,"tau2-bench 1.0.x, user simulator and judge Claude Sonnet 4.5",vLLM 0.28.0,coder-nvfp4,second run; the first run is in results/agentic/a-coder-nvfp4-run1
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,NVFP4/Qwen3-Coder-30B-A3B-Instruct-FP4,"NVFP4 (community, uncalibrated)",fp8,tau-bench airline,pass^1,0.34,50,"tau2-bench 1.0.x, user simulator and judge Claude Sonnet 4.5",vLLM 0.28.0,coder-nvfp4,second run; the first run is in results/agentic/a-coder-nvfp4-run1
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,NVFP4/Qwen3-Coder-30B-A3B-Instruct-FP4,"NVFP4 (community, uncalibrated)",fp8,tau-bench airline,pass^2,0.26,50,"tau2-bench 1.0.x, user simulator and judge Claude Sonnet 4.5",vLLM 0.28.0,coder-nvfp4,second run; the first run is in results/agentic/a-coder-nvfp4-run1
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,NVFP4/Qwen3-Coder-30B-A3B-Instruct-FP4,"NVFP4 (community, uncalibrated)",fp8,SWE-bench Verified (first 100),resolved,0.07,100,"mini-swe-agent 2.4.6, step limit 75; swebench 5.0.2",vLLM 0.28.0,coder-nvfp4,second run; the first run is in results/agentic/a-coder-nvfp4-run1
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,NVFP4/Qwen3-Coder-30B-A3B-Instruct-FP4,"NVFP4 (community, uncalibrated)",fp8,SWE-bench Verified (first 100),empty patches,0.43,100,"mini-swe-agent 2.4.6, step limit 75; swebench 5.0.2",vLLM 0.28.0,coder-nvfp4,second run; the first run is in results/agentic/a-coder-nvfp4-run1
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,NVFP4/Qwen3-Coder-30B-A3B-Instruct-FP4,"NVFP4 (community, uncalibrated)",fp8,SWE-bench Verified (first 100),patches that did not apply,0.4,100,"mini-swe-agent 2.4.6, step limit 75; swebench 5.0.2",vLLM 0.28.0,coder-nvfp4,second run; the first run is in results/agentic/a-coder-nvfp4-run1
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,NVFP4/Qwen3-Coder-30B-A3B-Instruct-FP4,"NVFP4 (community, uncalibrated)",fp8,"CoNLL-2003 extraction, schema mode, 300-token cap",entity F1,0.6909,1000,scripts/extraction.py,vLLM 0.28.0,coder-nvfp4,second run; the first run is in results/agentic/a-coder-nvfp4-run1
